Flight ID,Flight Number,Airline,Plane,Origin City,Origin Airport,Origin Code,Origin Country,Destination City,Destination Airport,Destination Code,Destination Country,Departure Time,Arrival Time,Duration (Hours),Operating Days,Economy Fare (USD),Business Fare (USD),First Fare (USD),Route Type,Distance Category
1,FL1,Go First,G8334,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,08:00,10:10,2.17,Wednesday,4589.0,,,Domestic,Short-haul
2,FL2,Go First,G8338,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,10:55,13:10,2.25,Wednesday,4589.0,,,Domestic,Short-haul
3,FL3,Go First,G8346,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:45,22:00,2.25,Wednesday,4589.0,,,Domestic,Short-haul
4,FL4,Go First,G8330,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,20:50,23:05,2.25,Wednesday,4589.0,,,Domestic,Short-haul
5,FL5,SpiceJet,SG8701,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,07:20,09:35,2.25,Saturday,4813.0,,,Domestic,Short-haul
6,FL6,SpiceJet,SG8169,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:45,22:00,2.25,Saturday,4882.0,,,Domestic,Short-haul
7,FL7,SpiceJet,SG8169,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:45,22:00,2.25,Sunday,4882.0,,,Domestic,Short-haul
8,FL8,SpiceJet,SG711,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,21:40,23:55,2.25,Wednesday,4882.0,,,Domestic,Short-haul
9,FL9,SpiceJet,SG711,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,21:40,23:55,2.25,Saturday,4882.0,,,Domestic,Short-haul
10,FL10,SpiceJet,SG8701,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,07:20,09:35,2.25,Friday,4882.0,,,Domestic,Short-haul
11,FL11,SpiceJet,SG711,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,21:40,23:55,2.25,Sunday,4882.0,,,Domestic,Short-haul
12,FL12,SpiceJet,SG8701,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,07:20,09:35,2.25,Thursday,4882.0,,,Domestic,Short-haul
13,FL13,SpiceJet,SG8169,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:45,22:00,2.25,Wednesday,4882.0,,,Domestic,Short-haul
14,FL14,SpiceJet,SG8709,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:00,21:10,2.17,Thursday,4940.0,,,Domestic,Short-haul
15,FL15,SpiceJet,SG8709,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:00,21:10,2.17,Sunday,4940.0,,,Domestic,Short-haul
16,FL16,SpiceJet,SG8701,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,07:20,09:35,2.25,Sunday,4940.0,,,Domestic,Short-haul
17,FL17,SpiceJet,SG711,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,21:40,23:55,2.25,Thursday,4940.0,,,Domestic,Short-haul
18,FL18,SpiceJet,SG8169,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,19:45,22:00,2.25,Thursday,4940.0,,,Domestic,Short-haul
19,FL19,Go First,G8330,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,20:50,23:05,2.25,Friday,5054.0,,,Domestic,Short-haul
20,FL20,Go First,G8336,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,14:30,16:40,2.17,Tuesday,5055.0,,,Domestic,Short-haul
21,FL21,Go First,G8336,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,14:30,16:40,2.17,Friday,5055.0,,,Domestic,Short-haul
22,FL22,Go First,G8354,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,22:45,01:00,2.25,Friday,5055.0,,,Domestic,Short-haul
23,FL23,Go First,G8323,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,18:20,20:35,2.25,Sunday,5055.0,,,Domestic,Short-haul
24,FL24,Go First,G8330,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,20:50,23:05,2.25,Tuesday,5055.0,,,Domestic,Short-haul
25,FL25,Go First,G8330,Delhi,Indira Gandhi International Airport,DEL,India,Mumbai,Chhatrapati Shivaji International Airport,BOM,India,20:50,23:05,2.25,Saturday,5055.0,,,Domestic,Short-haul
